date,pm25,aqi,aqi_lag_1,aqi_lag_3,aqi_change_rate,month,day_of_week,is_weekend
2024-06-12,71,166.33298208640673,195.8377239199157,188.46153846153845,-0.1506591337099813,6,2,0
2024-06-13,70,165.27924130663857,166.33298208640673,193.73024236037935,-0.0063351282863477465,6,3,0
2024-06-14,76,171.60168598524763,165.27924130663857,195.8377239199157,0.03825310806503035,6,4,0
2024-06-15,81,176.87038988408852,171.60168598524763,166.33298208640673,0.030703101013202394,6,5,1
2024-06-16,79,174.76290832455214,176.87038988408852,165.27924130663857,-0.011915400655347241,6,6,1
2024-06-17,70,165.27924130663857,174.76290832455214,171.60168598524763,-0.05426590292432909,6,0,0
2024-06-18,66,161.06427818756586,165.27924130663857,176.87038988408852,-0.02550207204335353,6,1,0
2024-06-19,74,169.49420442571127,161.06427818756586,174.76290832455214,0.05233889434085692,6,2,0
2024-06-20,85,181.08535300316123,169.49420442571127,165.27924130663857,0.0683866956792043,6,3,0
2024-06-21,99,195.8377239199157,181.08535300316123,161.06427818756586,0.08146639511201625,6,4,0
2024-06-22,97,193.73024236037935,195.8377239199157,169.49420442571127,-0.010761366693570085,6,5,1
2024-06-23,92,188.46153846153845,193.73024236037935,181.08535300316123,-0.027196083763938006,6,6,1
2024-06-24,88,184.24657534246575,188.46153846153845,195.8377239199157,-0.022365110427732704,6,0,0
2024-06-25,87,183.19283456269758,184.24657534246575,193.73024236037935,-0.005719187875321663,6,1,0
2024-06-26,98,194.7839831401475,183.19283456269758,188.46153846153845,0.0632729364394593,6,2,0
2024-06-27,99,195.8377239199157,194.7839831401475,184.24657534246575,0.005409791723018698,6,3,0
2024-06-28,111,208.48261327713382,195.8377239199157,183.19283456269758,0.06456820016142051,6,4,0
2024-06-29,51,138.94472361809045,208.48261327713382,194.7839831401475,-0.33354287230948776,6,5,1
2024-06-30,61,155.79557428872496,138.94472361809045,195.8377239199157,0.12127737010691741,6,6,1
2024-07-01,87,183.19283456269758,155.79557428872496,208.48261327713382,0.17585390598579664,7,0,0
2024-07-08,97,193.73024236037935,183.19283456269758,138.94472361809045,0.05752085130859941,7,0,0
2024-07-09,99,195.8377239199157,193.73024236037935,155.79557428872496,0.010878433505575158,7,1,0
2024-07-10,87,183.19283456269758,195.8377239199157,183.19283456269758,-0.06456820016142051,7,2,0
2024-07-11,88,184.24657534246575,183.19283456269758,193.73024236037935,0.005752085130859896,7,3,0
2024-07-12,78,173.70916754478398,184.24657534246575,195.8377239199157,-0.057191878753217074,7,4,0
2024-07-13,79,174.76290832455214,173.70916754478398,183.19283456269758,0.006066120715802148,7,5,1
2024-07-14,80,175.81664910432033,174.76290832455214,184.24657534246575,0.006029544769369899,7,6,1
2024-07-15,87,183.19283456269758,175.81664910432033,173.70916754478398,0.04195385076415947,7,0,0
2024-07-16,86,182.1390937829294,183.19283456269758,174.76290832455214,-0.005752085130860007,7,1,0
2024-07-17,90,186.3540569020021,182.1390937829294,175.81664910432033,0.023141452126120843,7,2,0
2024-07-18,84,180.03161222339304,186.3540569020021,183.19283456269758,-0.03392705682782016,7,3,0
2024-07-19,80,175.81664910432033,180.03161222339304,182.1390937829294,-0.02341235001463271,7,4,0
2024-07-20,79,174.76290832455214,175.81664910432033,186.3540569020021,-0.005993407252022909,7,5,1
2024-07-21,91,187.4077976817703,174.76290832455214,180.03161222339304,0.07235453723243901,7,6,1
2024-07-22,88,184.24657534246575,187.4077976817703,175.81664910432033,-0.016868147315153292,7,0,0
2024-07-23,85,181.08535300316123,184.24657534246575,174.76290832455214,-0.01715756362596499,7,1,0
2024-07-24,93,189.51527924130664,181.08535300316123,187.4077976817703,0.0465522257782951,7,2,0
2024-07-25,96,192.67650158061116,189.51527924130664,184.24657534246575,0.016680567139282676,7,3,0
2024-07-26,98,194.7839831401475,192.67650158061116,181.08535300316123,0.010937927262783642,7,4,0
2024-07-27,98,194.7839831401475,194.7839831401475,189.51527924130664,0.0,7,5,1
2024-07-28,95,191.622760800843,194.7839831401475,192.67650158061116,-0.01622937516905587,7,6,1
2024-07-29,97,193.73024236037935,191.622760800843,194.7839831401475,0.01099807533681596,7,0,0
2024-07-30,86,182.1390937829294,193.73024236037935,194.7839831401475,-0.05983138428066359,7,1,0
2024-07-31,67,162.11801896733402,182.1390937829294,191.622760800843,-0.10992189759907434,7,2,0
2024-08-01,63,157.90305584826132,162.11801896733402,193.73024236037935,-0.025999350016249534,8,3,0
2024-08-02,66,161.06427818756586,157.90305584826132,182.1390937829294,0.020020020020020013,8,4,0
2024-08-03,83,178.97787144362485,161.06427818756586,162.11801896733402,0.1112201504743211,8,5,1
2024-08-04,89,185.30031612223394,178.97787144362485,157.90305584826132,0.03532528701795723,8,6,1
2024-08-05,84,180.03161222339304,185.30031612223394,161.06427818756586,-0.028433323855558745,8,0,0
2024-08-06,85,181.08535300316123,180.03161222339304,178.97787144362485,0.005853087503658205,8,1,0
2024-08-07,70,165.27924130663857,181.08535300316123,185.30031612223394,-0.08728542333430322,8,2,0
2024-08-08,66,161.06427818756586,165.27924130663857,180.03161222339304,-0.02550207204335353,8,3,0
2024-08-09,58,152.63435194942045,161.06427818756586,181.08535300316123,-0.052338894340857034,8,4,0
2024-08-10,54,146.4824120603015,152.63435194942045,165.27924130663857,-0.04030508080617112,8,5,1
2024-08-11,49,133.91959798994975,146.4824120603015,161.06427818756586,-0.08576329331046306,8,6,1
2024-08-12,58,152.63435194942045,133.91959798994975,152.63435194942045,0.13974619279304568,8,0,0
2024-08-13,68,163.17175974710221,152.63435194942045,146.4824120603015,0.06903693476009654,8,1,0
2024-08-14,63,157.90305584826132,163.17175974710221,133.91959798994975,-0.032289312237649415,8,2,0
2024-08-15,58,152.63435194942045,157.90305584826132,152.63435194942045,-0.033366700033366614,8,3,0
2024-08-16,64,158.9567966280295,152.63435194942045,163.17175974710221,0.04142216085605788,8,4,0
2024-08-17,67,162.11801896733402,158.9567966280295,157.90305584826132,0.019887305270135824,8,5,1
2024-08-18,52,141.4572864321608,162.11801896733402,152.63435194942045,-0.1274425425796516,8,6,1
2024-08-19,67,162.11801896733402,141.4572864321608,158.9567966280295,0.14605633301951948,8,0,0
2024-08-20,67,162.11801896733402,162.11801896733402,162.11801896733402,0.0,8,1,0
2024-08-21,65,160.01053740779767,162.11801896733402,141.4572864321608,-0.012999675008124822,8,2,0
2024-08-22,71,166.33298208640673,160.01053740779767,162.11801896733402,0.039512676983865624,8,3,0
2024-08-23,71,166.33298208640673,166.33298208640673,162.11801896733402,0.0,8,4,0
2024-08-24,76,171.60168598524763,166.33298208640673,160.01053740779767,0.03167564143173918,8,5,1
2024-08-25,72,167.38672286617492,171.60168598524763,166.33298208640673,-0.024562480810561893,8,6,1
2024-08-26,74,169.49420442571127,167.38672286617492,166.33298208640673,0.012590494176896394,8,0,0
2024-08-27,80,175.81664910432033,169.49420442571127,171.60168598524763,0.03730183400683873,8,1,0
2024-08-28,74,169.49420442571127,175.81664910432033,167.38672286617492,-0.035960443512136675,8,2,0
2024-08-29,93,189.51527924130664,169.49420442571127,169.49420442571127,0.11812247435498913,8,3,0
2024-08-30,57,151.58061116965226,189.51527924130664,175.81664910432033,-0.2001668056713929,8,4,0
2024-08-31,92,188.46153846153845,151.58061116965226,169.49420442571127,0.24330900243308995,8,5,1
2024-09-01,74,169.49420442571127,188.46153846153845,189.51527924130664,-0.10064299692479728,9,6,1
2024-09-02,89,185.30031612223394,169.49420442571127,151.58061116965226,0.09325458501709671,9,0,0
2024-09-03,79,174.76290832455214,185.30031612223394,188.46153846153845,-0.0568666477111176,9,1,0
2024-09-04,74,169.49420442571127,174.76290832455214,169.49420442571127,-0.030147723846849495,9,2,0
2024-09-05,60,154.7418335089568,169.49420442571127,185.30031612223394,-0.08703761268262356,9,3,0
2024-09-06,71,166.33298208640673,154.7418335089568,174.76290832455214,0.07490636704119846,9,4,0
2024-09-07,66,161.06427818756586,166.33298208640673,169.49420442571127,-0.031675641431738844,9,5,1
2024-09-08,61,155.79557428872496,161.06427818756586,154.7418335089568,-0.032711808963035716,9,6,1
2024-09-09,67,162.11801896733402,155.79557428872496,166.33298208640673,0.040581670612106935,9,0,0
2024-09-10,80,175.81664910432033,162.11801896733402,161.06427818756586,0.08449788755281129,9,1,0
2024-09-11,130,228.5036880927292,175.81664910432033,155.79557428872496,0.2996703626011388,9,2,0
2024-09-12,135,233.7723919915701,228.5036880927292,162.11801896733402,0.023057412958266132,9,3,0
2024-10-03,62,156.84931506849315,233.7723919915701,175.81664910432033,-0.32905116069416274,10,3,0
2024-10-04,62,156.84931506849315,156.84931506849315,228.5036880927292,0.0,10,4,0
2024-10-05,60,154.7418335089568,156.84931506849315,233.7723919915701,-0.01343634531407456,10,5,1
2024-10-06,63,157.90305584826132,154.7418335089568,156.84931506849315,0.020429009193054126,10,6,1
2024-10-07,95,191.622760800843,157.90305584826132,156.84931506849315,0.21354688021354695,10,0,0
2024-10-08,123,221.12750263435194,191.622760800843,154.7418335089568,0.15397305471542477,10,1,0
2024-10-09,132,230.61116965226552,221.12750263435194,157.90305584826132,0.04288777698355961,10,2,0
2024-10-10,110,207.42887249736566,230.61116965226552,191.622760800843,-0.10052547406899692,10,3,0
2024-10-11,135,233.7723919915701,207.42887249736566,221.12750263435194,0.12700025400050796,10,4,0
2024-10-12,149,248.52476290832453,233.7723919915701,230.61116965226552,0.06310570205093513,10,5,1
2024-10-13,145,244.30979978925183,248.52476290832453,207.42887249736566,-0.016959932160271363,10,6,1
2024-10-14,141,240.09483667017912,244.30979978925183,233.7723919915701,-0.017252533965926187,10,0,0
2024-10-15,148,247.47102212855637,240.09483667017912,248.52476290832453,0.030721966205837115,10,1,0
2024-10-16,110,207.42887249736566,247.47102212855637,244.30979978925183,-0.161805407707047,10,2,0
2024-10-17,70,165.27924130663857,207.42887249736566,240.09483667017912,-0.20320040640081283,10,3,0
2024-10-18,89,185.30031612223394,165.27924130663857,247.47102212855637,0.1211348422059293,10,4,0
2024-10-19,122,220.07376185458378,185.30031612223394,207.42887249736566,0.1876599374466874,10,5,1
2024-10-20,106,203.21390937829293,220.07376185458378,165.27924130663857,-0.07661000718218824,10,6,1
2024-10-21,95,191.622760800843,203.21390937829293,185.30031612223394,-0.057039149598133165,10,0,0
2024-10-22,113,210.59009483667018,191.622760800843,220.07376185458378,0.09898267803134453,10,1,0
2024-10-23,138,236.9336143308746,210.59009483667018,203.21390937829293,0.12509382036527406,10,2,0
2024-10-24,151,300.0,236.9336143308746,191.622760800843,0.26617745163442286,10,3,0
2024-11-01,107,204.26765015806112,300.0,210.59009483667018,-0.31910783280646293,11,4,0
2024-11-02,106,203.21390937829293,204.26765015806112,236.9336143308746,-0.005158627805003979,11,5,1
2024-11-03,99,195.8377239199157,203.21390937829293,300.0,-0.0362976406533575,11,6,1
2024-11-04,95,191.622760800843,195.8377239199157,204.26765015806112,-0.02152273338714017,11,0,0
2024-11-05,103,200.0526870389884,191.622760800843,203.21390937829293,0.043992301347264284,11,1,0
2024-11-06,108,205.32139093782928,200.0526870389884,195.8377239199157,0.026336581511719803,11,2,0
2024-11-07,97,193.73024236037935,205.32139093782928,191.622760800843,-0.05645368231973302,11,3,0
2024-11-08,98,194.7839831401475,193.73024236037935,200.0526870389884,0.005439216752787468,11,4,0
2024-11-09,99,195.8377239199157,194.7839831401475,205.32139093782928,0.005409791723018698,11,5,1
2024-11-10,82,177.9241306638567,195.8377239199157,193.73024236037935,-0.09147161689534578,11,6,1
2024-11-11,78,173.70916754478398,177.9241306638567,194.7839831401475,-0.0236896653834765,11,0,0
2024-11-12,87,183.19283456269758,173.70916754478398,195.8377239199157,0.05459508644222022,11,1,0
2024-11-13,100,196.89146469968387,183.19283456269758,177.9241306638567,0.0747771067011791,11,2,0
2024-11-14,131,229.55742887249735,196.89146469968387,173.70916754478398,0.165908482740166,11,3,0
2024-11-15,176,300.0,229.55742887249735,183.19283456269758,0.3068625200826258,11,4,0
